monomer,ontology,eta,lambda
proline ,Amino acids,0.0,0.17447099809414643
proline ,Amino acids,0.0,0.17447099809414643
proline ,Amino acids,0.0,0.17447099809414643
proline ,Amino acids,0.0,0.17447099809414643
proline ,Amino acids,0.0,0.17447099809414643
proline ,Amino acids,0.0,0.17447099809414643
proline ,Amino acids,0.0,0.17447099809414643
proline ,Amino acids,0.0,0.17447099809414643
proline ,Amino acids,0.0,0.17447099809414643
proline ,Amino acids,0.0,0.17447099809414643
proline ,Amino acids,0.0,0.17447099809414643
proline ,Amino acids,0.0,0.17447099809414643
proline ,Amino acids,0.0,0.17447099809414643
proline ,Amino acids,0.0,0.17447099809414643
proline ,Amino acids,0.0,0.17447099809414643
proline ,Amino acids,0.0,0.17447099809414643
proline ,Amino acids,0.0,0.17447099809414643
proline ,Amino acids,0.0,0.17447099809414643
proline ,Amino acids,0.0,0.17447099809414643
proline ,Amino acids,0.0,0.17447099809414643
proline ,Amino acids,0.0,0.17447099809414643
proline ,Amino acids,0.0,0.17447099809414643
proline ,Amino acids,0.0,0.17447099809414643
proline ,Amino acids,0.0,0.17447099809414643
proline ,Amino acids,0.0,0.17447099809414643
proline ,Amino acids,0.0,0.17447099809414643
proline ,Amino acids,0.0,0.17447099809414643
proline ,Amino acids,0.0,0.17447099809414643
proline ,Amino acids,0.0,0.17447099809414643
proline ,Amino acids,0.0,0.17447099809414643
salicylic acid,Organic acids,0.0,0.13150513466859548
salicylic acid,Organic acids,0.0,0.13150513466859548
salicylic acid,Organic acids,0.0,0.13150513466859548
salicylic acid,Organic acids,0.0,0.13150513466859548
salicylic acid,Organic acids,0.0,0.13150513466859548
salicylic acid,Organic acids,0.0,0.13150513466859548
salicylic acid,Organic acids,0.0,0.13150513466859548
salicylic acid,Organic acids,0.0,0.13150513466859548
salicylic acid,Organic acids,0.0,0.13150513466859548
salicylic acid,Organic acids,0.0,0.13150513466859548
salicylic acid,Organic acids,0.0,0.13150513466859548
salicylic acid,Organic acids,0.0,0.13150513466859548
salicylic acid,Organic acids,0.0,0.13150513466859548
salicylic acid,Organic acids,0.0,0.13150513466859548
salicylic acid,Organic acids,0.0,0.13150513466859548
salicylic acid,Organic acids,0.0,0.13150513466859548
salicylic acid,Organic acids,0.0,0.13150513466859548
salicylic acid,Organic acids,0.0,0.13150513466859548
salicylic acid,Organic acids,0.0,0.13150513466859548
salicylic acid,Organic acids,0.0,0.13150513466859548
salicylic acid,Organic acids,0.0,0.13150513466859548
salicylic acid,Organic acids,0.0,0.13150513466859548
salicylic acid,Organic acids,0.0,0.13150513466859548
salicylic acid,Organic acids,0.0,0.13150513466859548
salicylic acid,Organic acids,0.0,0.13150513466859548
salicylic acid,Organic acids,0.0,0.13150513466859548
salicylic acid,Organic acids,0.0,0.13150513466859548
salicylic acid,Organic acids,0.0,0.13150513466859548
salicylic acid,Organic acids,0.0,0.13150513466859548
salicylic acid,Organic acids,0.0,0.13150513466859548
salicylic acid,Organic acids,0.0,0.13150513466859548
salicylic acid,Organic acids,0.0,0.13150513466859548
salicylic acid,Organic acids,0.0,0.13150513466859548
salicylic acid,Organic acids,0.0,0.13150513466859548
salicylic acid,Organic acids,0.0,0.13150513466859548
salicylic acid,Organic acids,0.0,0.13150513466859548
salicylic acid,Organic acids,0.0,0.13150513466859548
salicylic acid,Organic acids,0.0,0.13150513466859548
salicylic acid,Organic acids,0.0,0.13150513466859548
serine ,Amino acids,0.0,0.36358158187829703
serine ,Amino acids,0.0,0.36358158187829703
serine ,Amino acids,0.0,0.36358158187829703
serine ,Amino acids,0.0,0.36358158187829703
serine ,Amino acids,0.0,0.36358158187829703
serine ,Amino acids,0.0,0.36358158187829703
serine ,Amino acids,0.0,0.36358158187829703
serine ,Amino acids,0.0,0.36358158187829703
serine ,Amino acids,0.0,0.36358158187829703
serine ,Amino acids,0.0,0.36358158187829703
serine ,Amino acids,0.0,0.36358158187829703
serine ,Amino acids,0.0,0.36358158187829703
serine ,Amino acids,0.0,0.36358158187829703
serine ,Amino acids,0.0,0.36358158187829703
serine ,Amino acids,0.0,0.36358158187829703
serine ,Amino acids,0.0,0.36358158187829703
serine ,Amino acids,0.0,0.36358158187829703
serine ,Amino acids,0.0,0.36358158187829703
serine ,Amino acids,0.0,0.36358158187829703
serine ,Amino acids,0.0,0.36358158187829703
serine ,Amino acids,0.0,0.36358158187829703
serine ,Amino acids,0.0,0.36358158187829703
serine ,Amino acids,0.0,0.36358158187829703
serine ,Amino acids,0.0,0.36358158187829703
serine ,Amino acids,0.0,0.36358158187829703
serine ,Amino acids,0.0,0.36358158187829703
serine ,Amino acids,0.0,0.36358158187829703
serine ,Amino acids,0.0,0.36358158187829703
serine ,Amino acids,0.0,0.36358158187829703
serine ,Amino acids,0.0,0.36358158187829703
serine ,Amino acids,0.0,0.36358158187829703
serine ,Amino acids,0.0,0.36358158187829703
serine ,Amino acids,0.0,0.36358158187829703
serine ,Amino acids,0.0,0.36358158187829703
serine ,Amino acids,0.0,0.36358158187829703
serine ,Amino acids,0.0,0.36358158187829703
